#,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1381,26/02/2018,"1,196.00","1,202.00","1,190.00","1,190.00",-2.46,"1,254","14,95,920.00"
1380,27/02/2018,"1,210.00","1,270.00","1,210.00","1,233.00",3.61,851,"10,55,351.00"
1379,28/02/2018,"1,210.00","1,210.00","1,199.00","1,200.00",-2.68,895,"10,75,885.00"
1378,04/03/2018,"1,200.00","1,200.00","1,130.00","1,175.00",-2.08,984,"11,40,370.00"
1377,05/03/2018,"1,160.00","1,160.00","1,100.00","1,100.00",-6.38,795,"8,86,180.00"
1376,06/03/2018,"1,080.00","1,115.00","1,010.00","1,115.00",1.36,"4,443","46,90,302.00"
1375,07/03/2018,"1,137.00","1,160.00","1,090.00","1,124.00",0.9,"3,470","38,96,859.00"
1374,11/03/2018,"1,125.00","1,130.00","1,039.00","1,039.00",-7.64,"1,413","15,09,295.00"
1372,13/03/2018,"1,045.00","1,050.00","1,025.00","1,036.00",1.07,"1,200","12,41,042.00"
1373,13/03/2018,"1,039.00","1,060.00","1,020.00","1,025.00",-1.35,"1,189","12,41,042.00"
1371,14/03/2018,"1,030.00","1,040.00","1,030.00","1,040.00",0.39,"3,067","31,74,557.00"
1370,15/03/2018,"1,030.00","1,048.00","1,030.00","1,048.00",0.77,448,"4,62,986.00"
1369,18/03/2018,"1,040.00","1,040.00","1,000.00","1,010.00",-4.58,920,"9,37,255.00"
1368,19/03/2018,983,991,980,990,-1,"2,091","20,61,390.00"
1367,20/03/2018,980,"1,000.00",971,"1,000.00",1.01,639,"6,31,749.00"
1366,21/03/2018,"1,000.00","1,000.00",940,945,-5.5,"3,205","32,62,300.60"
1365,22/03/2018,950,969,900,950,0.53,"3,636","33,57,095.00"
1364,26/03/2018,931,931,882,895,-5.79,"1,529","13,68,638.00"
1363,27/03/2018,882,954,861,954,6.59,"1,379","12,22,904.00"
1362,28/03/2018,973,"1,011.00",935,935,-1.99,"3,090","29,93,121.00"
1361,29/03/2018,950,969,936,941,0.64,363,"3,45,774.00"
1360,01/04/2018,931,931,895,914,-3.29,"1,685","15,28,632.00"
1359,02/04/2018,928,928,900,900,-1.1,595,"5,44,458.00"
1358,03/04/2018,901,935,901,935,3.89,561,"5,20,382.00"
1357,05/04/2018,"1,030.00","1,050.00",990,"1,030.00",1.98,"1,961","20,19,767.00"
1356,08/04/2018,"1,031.00","1,122.00","1,030.00","1,122.00",8.93,"2,964","31,91,482.00"
1355,09/04/2018,"1,144.00","1,175.00","1,090.00","1,090.00",-2.85,"2,773","31,58,937.00"
1354,10/04/2018,"1,069.00","1,152.00","1,050.00","1,100.00",0.92,"1,123","12,32,170.00"
1353,11/04/2018,"1,080.00","1,091.00","1,045.00","1,091.00",-0.82,901,"9,66,863.00"
1352,12/04/2018,"1,091.00","1,132.00","1,085.00","1,120.00",2.66,"3,013","33,52,833.00"
1351,15/04/2018,"1,120.00","1,120.00","1,115.00","1,120.00",0,231,"2,58,445.00"
1350,16/04/2018,"1,142.00","1,199.00","1,123.00","1,171.00",5.8,"3,209","37,49,336.00"
1349,17/04/2018,"1,185.00","1,300.00","1,205.00","1,290.00",8.86,"4,997","62,04,965.00"
1348,18/04/2018,"1,314.00","1,314.00","1,240.00","1,255.00",-2.71,"2,986","37,93,272.00"
1347,19/04/2018,"1,259.00","1,284.00","1,235.00","1,250.00",-0.4,"3,224","40,60,352.00"
1346,22/04/2018,"1,250.00","1,346.00","1,244.00","1,343.00",7.44,"3,556","46,10,635.00"
1345,23/04/2018,"1,369.00","1,396.00","1,274.00","1,282.00",-5.06,"9,473","1,24,13,639.00"
1344,24/04/2018,"1,250.00","1,294.00","1,245.00","1,250.00",-1.96,"2,372","30,04,530.00"
1343,25/04/2018,"1,260.00","1,260.00","1,225.00","1,251.00",0.08,"1,397","17,44,630.00"
1342,26/04/2018,"1,276.00","1,276.00","1,205.00","1,205.00",-3.68,"1,501","18,66,678.00"
1341,29/04/2018,"1,225.00","1,235.00","1,211.00","1,220.00",1.41,902,"11,01,690.00"
1340,02/05/2018,"1,220.00","1,279.00","1,200.00","1,279.00",4.84,501,"6,11,920.00"
1339,03/05/2018,"1,280.00","1,303.00","1,275.00","1,280.00",0.08,"3,399","43,86,150.00"
1338,06/05/2018,"1,279.00","1,280.00","1,260.00","1,260.00",-1.56,528,"6,67,962.00"
1337,07/05/2018,"1,250.00","1,255.00","1,215.00","1,215.00",-3.57,384,"4,72,907.00"
1336,08/05/2018,"1,230.00","1,288.00","1,228.00","1,275.00",4.94,724,"8,99,852.00"
1335,09/05/2018,"1,275.00","1,300.00","1,230.00","1,300.00",1.96,974,"12,13,127.00"
1334,10/05/2018,"1,300.00","1,274.00","1,252.00","1,270.00",-2.31,876,"11,05,300.00"
1333,14/05/2018,"1,275.00","1,275.00","1,215.00","1,221.00",-4.33,544,"6,75,462.00"
1332,15/05/2018,"1,220.00","1,220.00","1,210.00","1,210.00",-0.41,559,"6,81,450.00"
1331,16/05/2018,"1,234.00","1,265.00","1,230.00","1,232.00",1.82,"1,023","12,65,610.00"
1330,17/05/2018,"1,240.00","1,255.00","1,220.00","1,230.00",-0.16,"1,374","17,03,755.00"
1329,20/05/2018,"1,254.00","1,254.00","1,215.00","1,244.00",1.14,923,"11,39,510.00"
1328,21/05/2018,"1,220.00","1,275.00","1,216.00","1,275.00",2.49,839,"10,49,496.00"
1327,22/05/2018,"1,250.00","1,290.00","1,239.00","1,290.00",1.18,"1,458","18,37,476.00"
1326,23/05/2018,"1,265.00","1,280.00","1,250.00","1,280.00",-0.78,354,"4,48,395.00"
1325,24/05/2018,"1,280.00","1,290.00","1,220.00","1,220.00",-4.69,"2,253","28,32,505.00"
1324,27/05/2018,"1,224.00","1,224.00","1,200.00","1,210.00",-0.82,"1,781","21,49,704.00"
1323,28/05/2018,"1,210.00","1,280.00","1,210.00","1,275.00",5.37,930,"11,71,182.00"
1322,29/05/2018,"1,265.00","1,265.00","1,234.00","1,258.00",-1.33,316,"3,93,244.00"
1321,30/05/2018,"1,265.00","1,290.00","1,250.00","1,240.00",-0.56,"1,428","18,01,763.00"
1320,31/05/2018,"1,235.00","1,250.00","1,230.00","1,250.00",-0.08,55,"67,994.00"
1319,03/06/2018,"1,225.00","1,227.00","1,177.00","1,192.00",-4.64,"2,871","34,49,460.00"
1318,04/06/2018,"1,210.00","1,215.00","1,172.00","1,195.00",0.25,"1,026","12,32,821.00"
1317,06/06/2018,"1,218.00","1,242.00","1,201.00","1,201.00",0.5,434,"5,30,294.00"
1316,07/06/2018,"1,200.00","1,200.00","1,177.00","1,198.00",-0.25,564,"6,69,568.00"
1315,10/06/2018,"1,176.00","1,176.00","1,131.00","1,131.00",-5.59,485,"7,07,843.00"
1314,11/06/2018,"1,109.00","1,162.00","1,109.00","1,150.00",1.77,856,"9,76,006.00"
1313,12/06/2018,"1,127.00","1,160.00","1,118.00","1,160.00",0.87,255,"2,87,638.00"
1312,13/06/2018,"1,167.00","1,180.00","1,160.00","1,167.00",0.6,703,"8,20,300.00"
1311,14/06/2018,"1,164.00","1,165.00","1,141.00","1,141.00",-2.23,882,"10,17,860.00"
1310,17/06/2018,"1,120.00","1,135.00","1,120.00","1,135.00",-0.53,313,"3,51,990.00"
1309,18/06/2018,"1,115.00","1,150.00","1,100.00","1,150.00",1.32,678,"7,60,524.00"
1308,19/06/2018,"1,131.00","1,131.00","1,108.00","1,108.00",-3.65,147,"1,65,651.00"
1307,20/06/2018,"1,102.00","1,105.00","1,100.00","1,100.00",-0.72,360,"3,96,300.00"
1306,21/06/2018,"1,122.00","1,122.00","1,105.00","1,083.00",0.45,230,"2,55,674.00"
1305,24/06/2018,"1,100.00","1,120.00","1,100.00","1,100.00",-0.45,861,"9,53,360.00"
1304,25/06/2018,"1,100.00","1,100.00","1,078.00","1,080.00",-1.82,362,"3,91,066.00"
1303,26/06/2018,"1,062.00","1,100.00","1,060.00","1,078.00",-0.19,381,"4,07,020.00"
1302,27/06/2018,"1,060.00","1,095.00","1,060.00","1,060.00",-1.67,497,"5,34,246.00"
1301,28/06/2018,"1,060.00","1,060.00","1,045.00","1,046.00",-1.32,762,"8,01,769.00"
1300,01/07/2018,"1,046.00","1,046.00","1,030.00","1,031.00",-1.43,605,"6,27,383.00"
1299,02/07/2018,"1,031.00","1,051.00","1,031.00","1,040.00",0.87,219,"2,28,765.00"
1298,03/07/2018,"1,031.00","1,041.00","1,021.00","1,025.00",-1.44,251,"2,59,096.00"
1297,04/07/2018,"1,025.00","1,040.00","1,025.00","1,030.00",0.49,144,"1,48,400.00"
1296,05/07/2018,"1,050.00","1,120.00","1,050.00","1,120.00",8.74,"1,440","15,76,800.00"
1295,08/07/2018,"1,142.00","1,170.00","1,120.00","1,120.00",0,"1,637","18,58,198.00"
1294,09/07/2018,"1,098.00","1,129.00","1,079.00","1,127.00",0.62,562,"6,30,484.00"
1293,10/07/2018,"1,127.00","1,127.00","1,085.00","1,088.00",-3.46,244,"2,65,780.00"
1292,11/07/2018,"1,109.00","1,175.00","1,109.00","1,121.00",3.03,"2,556","29,22,632.00"
1291,12/07/2018,"1,143.00","1,143.00","1,085.00","1,090.00",-2.77,"1,472","16,20,062.00"
1290,15/07/2018,"1,095.00","1,095.00","1,060.00","1,065.00",-2.29,972,"10,37,460.00"
1289,16/07/2018,"1,080.00","1,098.00","1,061.00","1,098.00",3.1,595,"6,39,640.00"
1288,17/07/2018,"1,099.00","1,100.00","1,078.00","1,100.00",0.18,353,"3,85,402.00"
1287,18/07/2018,"1,078.00","1,078.00","1,062.00","1,063.00",-3.45,601,"6,42,090.00"
1286,19/07/2018,"1,062.00","1,070.00","1,055.00","1,060.00",-0.19,209,"2,21,559.00"
1285,22/07/2018,"1,055.00","1,055.00","1,025.00","1,041.00",-1.79,"1,027","10,66,647.00"
1284,23/07/2018,"1,050.00","1,070.00","1,050.00","1,070.00",2.79,260,"2,75,600.00"
1283,24/07/2018,"1,070.00","1,081.00","1,070.00","1,070.00",0,294,"3,16,765.00"
1282,25/07/2018,"1,050.00","1,060.00","1,050.00","1,050.00",-1.87,313,"3,31,340.00"
1281,26/07/2018,"1,029.00","1,050.00","1,029.00","1,050.00",0,139,"1,44,711.00"
1280,29/07/2018,"1,035.00","1,050.00","1,033.00","1,045.00",0,274,"2,85,482.00"
1279,30/07/2018,"1,050.00","1,050.00","1,031.00","1,050.00",-1.81,100,"1,03,750.00"
1278,31/07/2018,"1,036.00","1,036.00","1,035.00","1,035.00",0.39,40,"41,410.00"
1277,01/08/2018,"1,035.00","1,050.00","1,030.00","1,030.00",-0.48,494,"5,11,560.00"
1276,02/08/2018,"1,031.00","1,040.00","1,030.00","1,031.00",0,214,"2,20,890.00"
1275,05/08/2018,"1,029.00","1,029.00","1,029.00","1,029.00",-0.1,26,"26,716.00"
1274,06/08/2018,"1,016.00","1,020.00","1,016.00","1,020.00",-0.87,176,"1,79,380.00"
1273,07/08/2018,"1,010.00","1,020.00","1,010.00","1,011.00",-0.88,196,"1,98,464.00"
1272,08/08/2018,"1,031.00","1,030.00","1,005.00","1,008.00",-0.59,650,"6,57,087.00"
1271,09/08/2018,"1,004.00","1,007.00","1,000.00","1,000.00",-0.5,830,"8,35,594.00"
1270,12/08/2018,980,"1,001.00",980,"1,001.00",0.1,387,"3,81,508.00"
1269,13/08/2018,"1,000.00","1,020.00","1,000.00","1,000.00",-0.1,243,"2,44,080.00"
1268,14/08/2018,995,"1,005.00",995,"1,005.00",0.5,592,"5,89,490.00"
1267,15/08/2018,995,"1,030.00",990,"1,030.00",2.49,673,"6,75,032.00"
1266,16/08/2018,"1,035.00","1,035.00","1,005.00","1,005.00",-2.43,588,"5,98,318.00"
1265,19/08/2018,990,990,985,990,-1.99,160,"1,57,650.00"
1264,20/08/2018,980,990,966,968,-1.83,506,"4,91,090.00"
1263,21/08/2018,950,966,948,966,-0.1,761,"7,24,428.00"
1262,23/08/2018,938,954,937,940,-1.88,670,"6,28,990.00"
1261,28/08/2018,940,946,932,932,-0.53,198,"1,86,748.00"
1260,29/08/2018,950,950,930,930,-0.21,979,"9,19,364.00"
1259,30/08/2018,947,950,942,942,1.29,544,"5,15,488.00"
1258,02/09/2018,945,945,940,945,0.32,122,"1,15,040.00"
1257,03/09/2018,950,990,950,978,3.7,"3,357","32,44,129.00"
1256,04/09/2018,965,985,965,965,-1.53,"1,210","11,77,699.00"
1255,05/09/2018,984,"1,035.00",983,"1,015.00",5.18,922,"9,29,646.00"
1254,06/09/2018,"1,035.00","1,035.00",981,982,-3.25,"1,800","18,04,792.00"
1253,09/09/2018,964,975,963,965,-1.93,628,"6,06,469.00"
1252,10/09/2018,965,979,950,979,1.66,442,"4,22,730.00"
1251,11/09/2018,998,"1,015.00",985,985,0.61,646,"6,50,800.00"
1250,12/09/2018,"1,000.00","1,019.00","1,000.00","1,019.00",3.45,779,"7,88,974.00"
1249,13/09/2018,"1,015.00","1,015.00",985,985,-3.34,722,"7,25,496.00"
1248,16/09/2018,"1,004.00","1,041.00","1,001.00","1,001.00",1.62,944,"9,63,214.00"
1247,17/09/2018,"1,016.00","1,035.00","1,015.00","1,015.00",1.4,"1,128","11,54,349.00"
1246,18/09/2018,"1,035.00","1,035.00","1,000.00","1,009.00",-1.48,405,"4,09,485.00"
1245,20/09/2018,"1,000.00","1,040.00",985,"1,025.00",2.5,864,"8,79,189.00"
1244,23/09/2018,"1,045.00","1,045.00","1,035.00","1,035.00",0.98,74,"76,790.00"
1243,25/09/2018,"1,055.00","1,076.00","1,035.00","1,036.00",0,862,"9,09,610.00"
1242,26/09/2018,"1,035.00","1,035.00","1,020.00","1,030.00",-0.48,"1,020","10,45,340.00"
1241,27/09/2018,"1,010.00","1,020.00","1,005.00","1,010.00",-1.94,"1,388","14,05,838.00"
1240,30/09/2018,"1,000.00","1,010.00",995,996,-1.39,959,"9,59,115.00"
1239,01/10/2018,980,999,980,987,-1.1,929,"9,19,417.00"
1238,02/10/2018,"1,003.00","1,003.00",980,980,-0.51,375,"3,70,103.00"
1237,03/10/2018,966,975,965,966,-1.53,529,"5,11,839.00"
1236,04/10/2018,966,983,966,976,1.14,651,"6,38,818.00"
1235,07/10/2018,956,957,879,879,-9.94,"1,528","13,50,452.00"
1234,08/10/2018,862,895,826,885,1.82,"3,900","34,00,591.00"
1233,09/10/2018,880,900,878,900,0.56,960,"8,50,790.00"
1232,10/10/2018,884,884,867,868,-3.67,346,"3,02,052.00"
1231,11/10/2018,870,883,861,883,1.85,238,"2,07,130.00"
1230,14/10/2018,880,885,880,885,0.23,210,"1,85,326.00"
1229,21/10/2018,875,875,875,875,-1.13,24,"21,000.00"
1228,23/10/2018,866,866,865,865,-1.14,334,"2,88,934.00"
1227,24/10/2018,851,851,851,851,-1.62,24,"20,424.00"
1226,25/10/2018,852,865,851,852,0.12,232,"1,98,406.00"
1225,28/10/2018,850,860,848,851,-0.12,218,"1,85,635.00"
1224,29/10/2018,865,875,862,865,1.29,968,"8,38,606.00"
1223,30/10/2018,862,879,862,879,1.97,523,"4,57,313.00"
1222,31/10/2018,865,865,865,865,-1.59,744,"6,43,560.00"
1221,01/11/2018,855,855,850,855,-1.73,367,"3,12,200.00"
1220,04/11/2018,850,850,850,850,0,22,"18,700.00"
1219,05/11/2018,850,901,850,901,6,"9,557","86,00,011.00"
1218,15/11/2018,884,885,870,885,0.11,60,"98,952.00"
1217,19/11/2018,868,868,860,860,-0.92,50,"43,000.00"
1216,20/11/2018,860,860,850,850,-1.16,113,"96,043.00"
1215,22/11/2018,850,850,804,820,-3.53,283,"2,31,705.00"
1214,25/11/2018,820,820,803,803,-2.07,543,"4,36,432.00"
1213,26/11/2018,803,803,799,799,-0.5,35,"27,740.00"
1212,27/11/2018,784,800,760,760,-3.06,"1,263","9,95,986.00"
1211,28/11/2018,760,760,743,743,-2.24,"1,043","7,81,187.00"
1210,29/11/2018,743,743,717,717,-3.5,"2,374","17,31,750.00"
1209,02/12/2018,718.92,719,691,691,-3.88,"1,456","10,17,059.00"
1208,03/12/2018,691,692,679,692,0.14,362,"2,48,205.00"
1207,04/12/2018,692,761,674,761,9.97,"2,272","15,68,588.00"
1206,09/12/2018,732,732,700,700,-4.37,304,"5,03,180.00"
1205,10/12/2018,700,713,690,710,1.43,"1,718","12,01,596.00"
1204,11/12/2018,710,710,700,700,-1.41,94,"65,800.00"
1203,12/12/2018,700,700,679,679,-3,165,"1,12,930.00"
1202,13/12/2018,679,714,673,714,5.15,307,"2,13,567.00"
1201,16/12/2018,714,741,714,741,3.78,86,"62,946.00"
1200,17/12/2018,741,770,727,770,3.91,538,"4,05,034.00"
1199,18/12/2018,770,770,740,754,-2.08,"1,048","7,85,864.00"
1198,19/12/2018,754,754,739,752,-0.27,200,"1,48,450.00"
1197,20/12/2018,752,752,737,737,-1.99,"1,512","11,24,110.00"
1196,23/12/2018,737,810,730,810,9.91,885,"6,94,610.00"
1195,24/12/2018,810,810,784,799,-1.36,341,"2,71,074.00"
1194,25/12/2018,799,799,766,780,-2.38,628,"4,88,442.00"
1193,26/12/2018,780,832,770,801,2.69,346,"3,64,496.00"
1192,30/12/2018,835,850,811,830,-0.6,937,"7,72,253.00"
1191,31/12/2018,830,830,799,799,-3.73,479,"3,86,968.00"
1190,01/01/2019,799,805,799,800,0.13,424,"3,40,281.00"
1189,02/01/2019,800,810,799,810,1.25,58,"46,630.00"
1188,03/01/2019,810,810,795,796,-1.73,595,"4,76,099.00"
1187,06/01/2019,796,796,767,783,-1.63,654,"5,05,941.00"
1186,08/01/2019,775,790,770,776,0.13,302,"2,34,484.00"
1185,09/01/2019,776,790,771,785,1.16,735,"5,69,992.00"
1184,10/01/2019,785,785,780,780,-0.64,140,"1,09,200.00"
1183,13/01/2019,780,795,772,775,-0.64,129,"1,00,315.00"
1182,15/01/2019,818,850,818,843,3.06,736,"6,15,616.00"
1181,16/01/2019,843,843,814,816,-3.2,646,"5,31,966.00"
1180,17/01/2019,816,816,804,814,-0.25,252,"2,03,458.00"
1179,20/01/2019,814,814,789,789,-3.07,280,"2,22,390.00"
1178,21/01/2019,789,804,789,795,0.76,420,"3,34,310.00"
1177,23/01/2019,810,810,795,810,0,"1,144","9,21,540.00"
1176,24/01/2019,810,819,810,819,1.11,184,"1,49,250.00"
1175,27/01/2019,819,819,790,790,-3.54,40,"31,860.00"
1174,28/01/2019,790,805,790,805,1.9,465,"3,72,133.00"
1173,29/01/2019,805,814,798,798,-0.87,224,"1,79,785.00"
1172,30/01/2019,798,803,796,801,0.38,516,"4,11,224.00"
1171,31/01/2019,801,805,801,805,0.5,212,"1,70,660.00"
1170,03/02/2019,800,805,791,793,-1.49,680,"5,39,560.00"
1169,04/02/2019,779,793,764,764,-3.66,"2,260","17,60,650.00"
1168,05/02/2019,775,802,764,802,4.97,"1,385","10,78,403.00"
1167,06/02/2019,818,818,786,786,-2,152,"1,20,064.00"
1166,07/02/2019,794,794,766,780,-0.76,764,"5,90,562.00"
1165,10/02/2019,767,780,767,767,-1.67,"1,624","12,50,088.00"
1164,11/02/2019,769,769,767,768,0.13,179,"1,37,572.00"
1163,12/02/2019,765,798,764,798,3.91,560,"4,30,386.00"
1162,13/02/2019,783,798,765,766,-4.01,647,"4,96,659.00"
1161,14/02/2019,751,769,726,744,-2.87,"1,739","13,00,232.00"
1160,17/02/2019,732,760,732,760,2.15,215,"1,60,403.00"
1159,18/02/2019,748,760,748,748,-1.58,80,"59,840.00"
1158,19/02/2019,762,777,748,774,3.48,270,"2,07,090.00"
1157,20/02/2019,778,779,765,765,-1.16,171,"1,32,515.00"
1156,21/02/2019,760,765,757,757,-1.05,117,"88,639.00"
1155,24/02/2019,751,757,744,755,-0.26,848,"6,34,590.00"
1154,25/02/2019,759,770,755,770,1.99,577,"4,40,363.00"
1153,26/02/2019,755,770,750,752,-2.34,261,"1,96,728.00"
1152,27/02/2019,755,756,752,753,0.13,"1,720","12,97,460.00"
1151,03/03/2019,753,753,753,753,0,70,"52,710.00"
1150,05/03/2019,740,754,740,754,0.13,90,"67,720.00"
1149,06/03/2019,760,770,754,770,2.12,"1,293","9,87,195.00"
1148,07/03/2019,770,788,769,788,2.34,"1,418","11,09,674.00"
1147,10/03/2019,788,788,788,788,0,2,"1,576.00"
1146,11/03/2019,773,788,773,776,-1.52,182,"1,41,049.00"
1145,12/03/2019,785,795,776,787,1.42,226,"1,78,364.00"
1144,13/03/2019,778,787,774,774,-1.65,495,"6,23,635.00"
1143,14/03/2019,774,774,774,774,1.98,10,"7,740.00"
1142,17/03/2019,760,774,770,770,-0.52,662,"5,10,166.00"
1141,18/03/2019,772,785,772,775,0.65,889,"6,89,502.00"
1140,19/03/2019,773,773,765,765,-1.29,49,"37,685.00"
1139,21/03/2019,752,752,750,752,-1.7,983,"7,38,038.00"
1138,25/03/2019,752,759,741,759,0.93,"1,482","11,12,639.00"
1137,26/03/2019,745,759,750,755,-0.53,38,"28,610.00"
1135,28/03/2019,760,760,758,760,0,639,"4,85,544.00"
1136,28/03/2019,755,760,760,760,0.66,50,"4,85,544.00"
1134,01/04/2019,775,775,760,760,0,128,"97,310.00"
1133,02/04/2019,774,774,751,764,0.53,332,"2,54,436.00"
1132,03/04/2019,759,759,750,753,-1.44,627,"4,71,711.00"
1131,04/04/2019,742,756,742,756,0.4,90,"67,310.00"
1130,07/04/2019,756,758,745,746,-1.32,579,"4,34,465.00"
1129,08/04/2019,746,785,755,785,5.23,"2,050","15,76,663.00"
1128,09/04/2019,783,785,770,770,-1.91,21,"16,183.00"
1127,10/04/2019,756,771,756,771,0.13,273,"2,06,538.00"
1126,11/04/2019,760,780,740,770,-0.13,"1,394","10,56,009.00"
1125,15/04/2019,765,795,765,795,3.25,"1,028","8,07,190.00"
1124,16/04/2019,810,820,794,820,3.14,"2,281","18,42,945.00"
1123,17/04/2019,820,836,804,810,-1.22,933,"7,58,178.00"
1122,18/04/2019,794,829,793,829,2.35,"2,073","16,94,461.00"
1121,21/04/2019,845,845,820,835,0.72,722,"6,02,124.00"
1120,22/04/2019,825,825,805,805,-3.59,"1,373","11,11,465.00"
1119,23/04/2019,806,805,799,800,-0.62,167,"1,33,751.00"
1118,24/04/2019,788,803,788,800,0,513,"4,09,396.00"
1117,25/04/2019,809,810,786,800,0,"1,013","8,15,249.00"
1116,28/04/2019,815,850,805,850,6.25,"2,204","18,13,748.00"
1115,29/04/2019,835,840,820,826,-2.82,"2,315","19,20,150.00"
1114,30/04/2019,815,815,810,815,-1.33,136,"1,10,720.00"
1113,02/05/2019,815,815,799,815,0,236,"1,89,208.00"
1112,05/05/2019,799,814,799,799,-1.96,276,"2,22,154.00"
1111,06/05/2019,784,795,784,795,-0.5,134,"1,05,520.00"
1110,07/05/2019,781,795,776,795,0,"1,065","8,35,914.00"
1109,08/05/2019,790,800,785,800,0.63,549,"4,31,770.00"
1108,09/05/2019,784,795,784,795,-0.62,149,"1,17,235.00"
1107,12/05/2019,790,790,776,778,-2.14,562,"4,40,002.00"
1106,13/05/2019,770,770,764,766,-1.54,145,"1,11,426.00"
1105,14/05/2019,768,784,768,771,0.65,560,"4,35,610.00"
1104,15/05/2019,784,784,771,771,0,"1,199","9,27,994.00"
1103,16/05/2019,771,771,771,771,0,74,"57,054.00"
1102,19/05/2019,765,775,757,775,0.52,180,"1,37,958.00"
1101,20/05/2019,770,770,750,755,-2.58,"1,365","10,40,472.00"
1100,21/05/2019,760,770,756,758,0.4,"1,176","8,93,488.00"
1099,22/05/2019,758,760,755,760,0.26,458,"3,47,144.00"
1098,23/05/2019,760,760,760,760,0,24,"18,240.00"
1097,26/05/2019,746,760,746,753,-0.92,419,"3,14,007.00"
1096,27/05/2019,750,751,750,750,-0.4,365,"2,73,812.00"
1095,28/05/2019,750,750,750,750,0,26,"19,500.00"
1094,29/05/2019,750,778,750,765,2,409,"3,12,535.00"
1093,30/05/2019,770,770,755,755,-1.31,250,"1,90,450.00"
1092,02/06/2019,740,754,740,751,-0.53,73,"54,710.00"
1091,03/06/2019,753,758,750,750,-0.13,848,"6,39,271.00"
1090,04/06/2019,749,750,738,750,0,557,"4,14,628.00"
1089,06/06/2019,735,750,736,736,-1.87,102,"75,070.00"
1088,10/06/2019,736,736,722,722,-1.9,272,"1,98,574.00"
1087,11/06/2019,721,722,702,702,-2.77,"1,539","10,95,495.00"
1086,12/06/2019,690,690,677,680,-3.13,"2,272","15,53,174.00"
1085,13/06/2019,669,693,667,693,1.91,"1,511","10,17,330.00"
1084,16/06/2019,680,680,645,650,-6.2,907,"5,92,041.00"
1083,17/06/2019,640,663,638,663,2,850,"5,47,897.00"
1082,18/06/2019,663,663,653,653,-1.51,672,"4,44,656.00"
1081,19/06/2019,666,675,666,666,1.99,349,"2,35,140.00"
1080,20/06/2019,655,668,650,656,-1.5,741,"4,84,819.00"
1079,23/06/2019,645,663,644,650,-0.91,352,"2,29,128.00"
1078,24/06/2019,640,663,637,651,0.15,"1,295","8,35,683.00"
1077,25/06/2019,652,678,650,678,4.15,415,"2,75,642.00"
1076,26/06/2019,675,675,665,665,-1.92,264,"1,76,110.00"
1075,27/06/2019,665,678,660,660,-0.75,334,"2,21,700.00"
1074,30/06/2019,650,651,650,650,-1.52,530,"3,44,560.00"
1073,01/07/2019,655,660,655,660,1.54,90,"59,050.00"
1072,02/07/2019,660,665,650,665,0.76,377,"2,48,626.00"
1071,03/07/2019,667,682,653,682,2.56,"2,342","15,52,021.00"
1070,04/07/2019,684,685,670,670,-1.76,790,"5,33,512.00"
1069,07/07/2019,660,662,660,661,-1.34,158,"1,04,371.00"
1068,08/07/2019,659,659,658,658,-0.45,50,"32,917.00"
1067,09/07/2019,668,684,668,684,3.95,437,"2,92,842.00"
1066,10/07/2019,685,685,679,685,0.15,873,"5,96,841.00"
1065,11/07/2019,672,672,650,650,-5.11,340,"2,25,980.00"
1064,14/07/2019,663,665,655,665,2.31,283,"1,87,567.00"
1063,15/07/2019,670,670,665,665,0,92,"61,386.00"
1062,16/07/2019,665,670,661,661,-0.6,"1,302","8,61,044.00"
1061,17/07/2019,665,677,661,661,0,"1,805","11,97,170.00"
1060,18/07/2019,662,670,662,670,1.36,814,"5,41,900.00"
1059,21/07/2019,660,660,660,660,-1.49,20,"13,200.00"
1058,22/07/2019,670,673,670,673,1.97,"1,146","7,70,862.00"
1057,23/07/2019,680,710,675,710,5.5,"2,689","18,34,910.00"
1056,24/07/2019,715,724,714,721,1.55,788,"5,65,190.00"
1055,25/07/2019,715,715,690,701,-2.77,"1,612","11,35,612.00"
1054,28/07/2019,687,687,665,665,-5.14,599,"4,03,907.00"
1053,29/07/2019,678,704,678,704,5.86,588,"4,10,719.00"
1052,30/07/2019,715,725,712,721,2.41,"3,519","25,36,839.00"
1051,31/07/2019,725,793,724,793,9.99,"4,522","33,79,651.00"
1050,01/08/2019,790,829,775,815,2.77,"5,981","47,79,582.00"
1049,04/08/2019,799,828,775,780,-4.29,"1,950","15,52,391.00"
1048,05/08/2019,776,776,731,731,-6.28,"2,477","18,90,027.00"
1047,06/08/2019,745,750,731,750,2.6,562,"4,16,093.00"
1046,07/08/2019,745,780,726,775,3.33,"1,719","13,11,841.00"
1045,08/08/2019,785,785,752,760,-1.94,611,"4,63,926.00"
1044,11/08/2019,746,751,731,751,-1.18,356,"2,64,192.00"
1043,12/08/2019,736,762,726,726,-3.33,"2,279","16,71,792.00"
1042,13/08/2019,735,763,735,749,3.17,88,"65,884.00"
1041,14/08/2019,736,736,721,735,-1.87,"1,000","7,26,746.00"
1040,15/08/2019,749,749,735,740,0.68,95,"70,315.00"
1039,18/08/2019,740,740,727,740,0,923,"6,78,780.00"
1038,19/08/2019,740,769,740,768,3.78,117,"87,430.00"
1037,20/08/2019,768,768,740,740,-3.65,631,"4,71,832.00"
